Lat,Lon
37.3038793,127.9072283
37.3038779,127.9072194
37.3038748,127.9072110
37.3038703,127.9072038
37.3038663,127.9071957
37.3038618,127.9071885
37.3038566,127.9071818
37.3038517,127.9071747
37.3038463,127.9071683
37.3038411,127.9071597
37.3038359,127.9071527
37.3038306,127.9071443
37.3038251,127.9071360
37.3038207,127.9071285
37.3038157,127.9071216
37.3038104,127.9071152
37.3038049,127.9071077
37.3037994,127.9071017
37.3037932,127.9070951
37.3037870,127.9070890
37.3037807,127.9070837
37.3037741,127.9070773
37.3037677,127.9070718
37.3037616,127.9070654
37.3037556,127.9070585
37.3037496,127.9070520
37.3037436,127.9070444
37.3037372,127.9070371
37.3037311,127.9070299
37.3037260,127.9070235
37.3037197,127.9070158
37.3037136,127.9070091
37.3037070,127.9070011
37.3037009,127.9069936
37.3036955,127.9069877
37.3036891,127.9069798
37.3036836,127.9069737
37.3036771,127.9069667
37.3036709,127.9069591
37.3036643,127.9069530
37.3036591,127.9069463
37.3036545,127.9069389
37.3036491,127.9069329
37.3036435,127.9069244
37.3036381,127.9069168
37.3036327,127.9069105
37.3036272,127.9069036
37.3036219,127.9068970
37.3036168,127.9068907
37.3036111,127.9068828
37.3036047,127.9068763
37.3035995,127.9068698
37.3035939,127.9068635
37.3035878,127.9068564
37.3035826,127.9068502
37.3035767,127.9068427
37.3035712,127.9068362
37.3035658,127.9068299
37.3035604,127.9068232
37.3035546,127.9068172
37.3035493,127.9068105
37.3035440,127.9068042
37.3035383,127.9067984
37.3035327,127.9067928
37.3035275,127.9067863
37.3035223,127.9067800
37.3035161,127.9067748
