Lat,Lon
37.3040004,127.9073480
37.3039953,127.9073416
37.3039902,127.9073351
37.3039852,127.9073285
37.3039800,127.9073223
37.3039750,127.9073158
37.3039698,127.9073096
37.3039645,127.9073032
37.3039589,127.9072974
37.3039532,127.9072918
37.3039479,127.9072856
37.3039426,127.9072794
37.3039376,127.9072729
37.3039322,127.9072668
37.3039256,127.9072630
37.3039186,127.9072609
37.3039114,127.9072610
37.3039044,127.9072633
37.3038978,127.9072678
37.3038924,127.9072738
37.3038875,127.9072805
37.3038827,127.9072872
37.3038776,127.9072938
37.3038727,127.9073006
37.3038677,127.9073071
