Lat,Lon
37.3041017,127.9074683
37.3040963,127.9074624
37.3040911,127.9074555
37.3040860,127.9074492
37.3040804,127.9074429
37.3040751,127.9074362
37.3040702,127.9074288
37.3040650,127.9074223
37.3040599,127.9074156
37.3040549,127.9074091
37.3040489,127.9074022
37.3040432,127.9073957
37.3040379,127.9073895
37.3040324,127.9073837
37.3040268,127.9073773
37.3040213,127.9073709
37.3040158,127.9073647
37.3040103,127.9073585
37.3040047,127.9073521
37.3039992,127.9073462
37.3039939,127.9073399
37.3039886,127.9073333
37.3039832,127.9073265
37.3039775,127.9073207
37.3039721,127.9073140
37.3039670,127.9073076
37.3039616,127.9073014
37.3039559,127.9072952
37.3039507,127.9072889
37.3039453,127.9072823
37.3039397,127.9072757
37.3039344,127.9072695
37.3039292,127.9072633
37.3039239,127.9072567
37.3039187,127.9072503
37.3039131,127.9072438
37.3039075,127.9072382
37.3039021,127.9072318
37.3038971,127.9072251
37.3038914,127.9072174
37.3038860,127.9072114
37.3038804,127.9072050
37.3038748,127.9071987
37.3038696,127.9071923
37.3038640,127.9071861
37.3038589,127.9071798
37.3038532,127.9071735
37.3038479,127.9071674
37.3038433,127.9071602
