Lat,Lon
37.3038617,127.9071541
37.3038564,127.9071480
37.3038511,127.9071419
37.3038457,127.9071359
37.3038405,127.9071296
37.3038352,127.9071234
37.3038297,127.9071172
37.3038243,127.9071109
37.3038189,127.9071046
37.3038136,127.9070980
37.3038085,127.9070917
37.3038032,127.9070853
37.3037980,127.9070789
37.3037928,127.9070726
37.3037873,127.9070667
37.3037820,127.9070603
37.3037765,127.9070541
37.3037711,127.9070481
37.3037661,127.9070412
37.3037607,127.9070341
37.3037555,127.9070278
37.3037497,127.9070208
37.3037436,127.9070155
37.3037384,127.9070081
37.3037323,127.9070029
37.3037272,127.9069961
37.3037213,127.9069889
37.3037160,127.9069826
37.3037105,127.9069763
37.3037049,127.9069702
37.3036981,127.9069622
37.3036926,127.9069560
37.3036870,127.9069497
37.3036815,127.9069436
37.3036756,127.9069372
37.3036700,127.9069314
37.3036650,127.9069247
37.3036599,127.9069184
37.3036545,127.9069118
37.3036493,127.9069053
37.3036439,127.9068987
37.3036385,127.9068924
37.3036332,127.9068863
37.3036277,127.9068799
37.3036223,127.9068735
37.3036168,127.9068673
37.3036110,127.9068611
37.3036059,127.9068546
37.3035999,127.9068473
37.3035947,127.9068411
37.3035895,127.9068349
37.3035844,127.9068281
37.3035791,127.9068217
37.3035739,127.9068154
37.3035688,127.9068091
37.3035633,127.9068027
37.3035579,127.9067961
37.3035525,127.9067896
37.3035473,127.9067831
37.3035421,127.9067768
37.3035366,127.9067701
